40 25 2
270 17 351 293
474 16 524 519
432 6 473 470
447 3 481 470
183 21 251 210
413 2 470 421
399 13 453 423
215 19 305 278
0 24 82 41
61 8 116 80
116 22 185 184
72 24 130 120
130 12 194 184
481 16 524 513
37 10 114 83
351 20 413 386
364 13 432 400
285 22 364 342
149 2 215 164
473 4 517 511
453 1 485 467
0 22 72 39
15 11 90 61
322 13 386 349
171 9 239 199
82 2 149 125
344 2 399 363
239 15 322 289
194 12 285 246
485 7 1000 683
251 20 344 327
470 7 501 481
305 7 366 348
386 19 447 425
366 14 445 390
185 24 270 229
0 15 61 46
114 19 183 146
90 14 171 129
445 17 474 467
