40 25 2
191 17 258 217
135 10 210 207
155 13 230 216
112 20 178 164
355 9 398 377
374 16 438 408
93 15 168 112
33 9 84 59
258 7 289 280
289 20 365 310
259 9 313 300
313 5 374 349
14 6 68 60
281 22 360 307
438 18 494 463
272 24 355 350
120 13 191 163
360 12 414 379
419 5 494 448
51 16 112 85
247 1 272 271
335 5 386 354
0 19 51 34
463 8 1000 522
398 19 468 431
365 12 419 397
178 20 251 231
60 9 120 71
210 4 259 249
0 14 45 43
45 8 93 75
265 8 335 318
68 19 135 101
414 25 486 453
0 12 60 54
168 19 247 187
230 7 265 240
84 8 155 146
386 5 463 422
251 6 281 259
