40 25 2
172 4 230 229
437 8 486 470
195 16 246 211
226 18 291 271
0 25 88 29
246 9 316 272
404 8 458 412
161 23 210 209
316 3 367 358
367 15 445 425
291 7 338 338
0 18 81 49
307 12 344 343
419 5 464 451
323 6 383 372
335 23 404 389
0 13 56 17
94 23 168 154
168 11 226 208
464 20 534 499
206 4 264 229
99 22 172 140
13 25 94 53
282 9 335 303
81 5 139 126
230 18 307 259
139 4 206 189
383 18 450 437
344 21 437 436
486 9 1000 832
458 19 534 517
445 6 505 453
450 22 525 479
116 7 195 157
210 16 282 236
31 7 99 91
56 6 116 115
264 16 323 311
338 16 419 392
88 17 161 109
