40 25 2
0 11 39 14
435 10 492 486
211 11 277 249
277 10 350 301
86 11 130 128
127 7 161 151
161 25 241 228
174 12 252 222
291 22 364 359
223 21 291 270
39 25 96 81
152 13 211 193
364 19 453 383
21 4 71 30
145 2 186 174
252 14 309 277
0 11 43 43
299 19 375 323
96 8 145 137
398 18 475 442
331 11 417 410
71 12 127 127
453 4 492 489
159 12 223 219
119 15 159 157
309 14 398 388
0 10 32 17
186 18 273 209
130 7 174 139
108 3 152 114
273 8 331 300
417 12 479 479
465 13 1000 503
350 23 435 380
10 7 46 21
375 18 465 458
43 15 108 78
32 3 86 73
241 4 299 296
46 10 119 112
