40 25 2
66 6 108 80
70 16 124 96
466 14 525 516
96 23 187 129
0 1 20 3
422 7 487 432
80 16 171 165
359 16 422 408
391 1 436 414
330 16 407 391
171 17 255 205
212 24 310 282
195 20 300 244
108 24 195 150
375 14 428 422
0 14 44 14
487 22 1000 517
235 21 327 288
147 8 235 227
300 3 359 325
124 16 212 208
0 5 41 30
20 18 70 56
255 10 330 307
6 3 66 20
41 4 74 58
187 23 279 223
348 16 421 419
436 21 503 482
310 18 375 329
62 4 96 75
421 8 466 449
428 23 489 476
407 6 443 421
443 2 525 467
1 21 62 41
44 4 80 70
74 12 147 94
327 11 391 338
279 17 348 344
