40 25 2
89 19 183 151
183 15 258 208
66 7 132 107
109 20 193 178
388 4 434 433
373 11 429 400
476 18 547 545
366 13 416 415
436 6 499 495
0 9 48 11
171 15 240 222
48 1 109 63
445 23 533 532
323 7 401 368
444 25 515 476
193 17 283 277
0 23 66 34
499 14 1000 684
258 7 323 299
82 23 171 164
434 1 476 463
429 8 451 437
300 18 388 387
401 13 436 432
296 25 373 361
283 4 348 347
132 12 208 200
451 16 547 494
151 10 223 189
289 23 366 344
208 18 289 241
223 25 296 293
0 16 81 60
9 18 82 54
412 5 444 436
32 15 89 59
240 6 300 286
81 20 151 113
416 2 445 426
348 15 412 369
