40 25 2
349 25 440 399
474 22 541 525
39 7 121 117
552 9 1000 785
540 11 578 572
192 21 257 254
20 22 107 64
285 10 358 333
394 9 474 414
121 24 209 180
318 9 394 346
14 16 84 67
522 11 569 569
500 1 563 555
419 1 477 470
245 24 318 277
143 17 239 211
477 18 552 526
84 7 167 143
239 4 299 249
55 23 128 84
0 6 55 43
107 15 192 156
541 6 578 547
299 21 369 356
257 14 328 273
128 25 218 164
261 19 349 310
77 14 143 95
440 24 500 474
328 11 419 406
218 12 285 246
369 21 450 406
449 3 522 461
167 9 245 231
0 14 39 35
358 25 449 419
450 23 540 513
0 19 77 60
209 6 261 257
