40 25 2
118 14 176 135
260 20 351 330
78 16 140 124
494 4 560 504
97 13 154 152
43 19 118 92
131 21 198 155
0 21 60 38
480 13 539 496
291 19 385 321
364 25 442 426
351 11 427 418
176 9 243 194
512 21 1000 571
239 3 291 282
257 8 332 309
198 8 257 215
442 12 499 498
311 13 396 395
396 15 468 413
446 14 512 504
427 22 494 484
231 14 283 280
0 2 43 21
385 6 446 437
421 4 480 478
2 17 97 38
154 22 231 201
499 23 560 553
222 4 260 229
283 21 364 325
102 9 175 138
243 23 311 283
23 18 102 45
0 20 78 47
140 1 222 173
60 5 131 101
332 21 421 403
468 5 516 511
175 24 239 204
