40 25 2
238 25 323 288
22 23 89 74
89 1 122 103
199 23 270 256
270 18 347 325
50 7 100 87
168 2 210 189
101 8 142 136
347 14 421 376
295 22 356 333
178 11 238 236
323 9 384 342
28 9 96 87
180 5 254 187
138 3 168 168
122 4 154 135
370 22 433 428
356 15 425 403
254 10 345 297
399 8 1000 820
0 7 50 11
142 5 169 154
73 7 101 99
82 4 106 97
0 15 28 26
151 9 178 168
159 9 199 172
169 19 215 215
0 6 73 30
100 16 138 120
210 16 295 239
15 22 82 56
96 5 130 119
154 1 180 175
345 14 399 388
384 4 433 405
215 16 305 242
130 9 159 156
305 2 370 325
106 8 151 149
