40 25 2
377 21 474 436
503 14 533 527
11 23 83 64
137 24 201 179
395 21 487 456
180 10 249 218
461 3 504 478
35 16 100 99
100 5 143 108
369 24 461 429
328 11 377 357
0 24 63 39
249 14 351 284
140 13 221 204
221 17 289 249
474 13 508 495
354 8 419 390
289 23 365 354
365 18 440 385
0 5 79 10
201 1 270 246
504 11 1000 579
419 13 490 466
490 4 533 516
167 20 232 195
231 21 303 287
112 3 167 150
143 21 231 203
132 3 180 158
40 4 112 83
232 19 328 304
270 25 354 320
79 12 137 128
303 3 369 351
351 4 395 379
83 20 140 109
440 13 503 500
487 1 522 520
0 11 40 31
63 17 132 109
