40 25 2
442 21 495 482
193 18 269 220
0 23 67 30
117 18 206 179
448 1 495 467
294 25 389 344
89 20 179 127
428 15 485 484
82 24 161 111
247 2 305 267
72 4 137 84
0 11 48 36
389 3 420 412
216 22 286 273
355 4 409 387
406 5 428 415
269 8 330 320
137 14 216 166
62 10 93 78
421 6 484 442
415 7 448 435
0 14 62 34
409 1 442 426
67 7 117 74
206 13 284 238
234 15 294 265
93 24 193 187
393 6 421 416
286 25 365 329
25 5 82 71
161 13 234 189
48 5 89 85
179 10 247 241
330 24 406 383
420 14 463 446
284 11 355 353
305 10 393 362
365 13 415 411
11 14 72 58
463 10 1000 718
