40 25 2
250 2 310 290
124 9 180 151
159 12 227 216
439 22 497 487
458 10 1000 884
138 21 205 194
410 19 487 482
0 11 64 32
114 13 159 133
328 24 410 369
227 25 286 252
275 19 325 313
421 7 497 429
27 6 88 46
0 15 58 35
340 5 421 363
125 12 193 148
388 11 458 413
325 12 388 372
305 1 340 326
232 9 305 292
113 1 147 130
393 18 465 427
58 19 114 107
180 14 232 197
219 18 284 247
193 8 250 227
88 10 138 120
205 5 275 267
64 25 124 98
0 12 38 38
38 5 113 51
147 13 219 212
69 1 125 74
364 17 439 417
286 15 328 317
12 20 69 57
284 5 326 314
326 24 393 352
310 2 364 337
