40 25 2
210 22 307 275
31 4 64 39
340 24 445 395
233 9 310 296
64 9 138 99
355 24 450 425
450 10 1000 875
325 17 420 404
0 2 35 2
12 4 56 39
106 12 180 160
0 17 52 48
138 25 185 174
180 2 206 197
155 1 196 171
125 5 184 151
317 15 396 345
56 16 106 100
196 23 280 238
150 4 187 187
184 9 210 195
52 5 97 67
59 17 125 81
35 3 80 77
372 25 465 452
258 18 317 296
0 12 31 22
280 3 325 321
310 15 372 330
14 17 59 54
307 8 355 328
445 12 487 462
80 19 150 144
185 10 233 196
420 15 487 485
206 25 289 274
187 4 258 201
289 7 340 302
396 5 477 424
97 13 155 131
