40 25 2
0 8 12 9
11 18 69 48
214 12 278 237
224 8 300 253
398 11 468 444
389 4 456 456
205 15 259 235
164 9 239 192
336 20 417 399
0 2 11 2
361 9 421 396
48 16 109 90
116 19 205 147
109 7 189 179
69 22 116 96
278 2 336 317
138 25 214 191
316 5 369 339
189 10 251 227
10 4 48 29
251 22 318 310
259 16 331 286
16 21 86 52
145 16 224 161
331 8 398 387
2 1 34 24
421 12 499 455
108 22 164 142
456 21 1000 710
417 24 478 443
34 1 108 105
432 10 499 462
70 1 138 126
300 13 361 326
239 19 316 312
86 7 145 123
0 1 16 7
318 25 389 366
369 19 432 428
12 14 70 31
