40 25 2
120 13 177 141
444 5 508 480
475 2 538 506
79 1 147 105
297 15 391 314
391 14 455 446
70 24 134 111
315 24 398 355
231 16 315 248
510 1 546 522
236 25 334 324
425 15 497 447
497 18 539 531
470 11 528 497
211 20 297 252
373 13 444 412
455 22 510 479
134 23 199 163
154 13 231 185
186 20 256 208
0 18 70 18
508 10 546 529
199 5 272 235
46 17 121 69
26 24 96 56
272 19 373 351
177 12 236 204
147 9 211 200
411 11 475 443
0 10 46 42
0 16 44 43
256 18 349 288
398 19 470 429
349 7 425 362
528 7 1000 800
16 2 79 21
121 7 186 161
96 13 154 124
334 18 411 386
44 9 120 89
