40 25 2
195 20 267 232
53 13 121 74
364 11 438 403
373 21 446 428
157 2 219 189
160 13 220 183
103 3 157 147
446 9 1000 484
16 18 65 59
0 3 29 16
182 1 263 232
65 3 130 86
286 20 364 315
339 9 404 389
47 22 103 80
100 9 144 126
356 20 425 423
393 13 447 444
0 4 47 7
438 10 466 457
295 17 373 319
425 1 466 436
29 12 100 67
87 18 133 123
133 3 182 164
13 9 53 35
263 4 319 314
20 6 87 50
130 13 180 146
319 8 393 351
404 8 457 445
0 13 20 19
144 20 195 193
282 24 356 351
219 23 282 278
240 15 295 290
267 9 339 289
121 11 160 145
180 24 240 217
220 4 286 227
