40 25 2
449 9 508 496
202 25 286 285
258 3 325 278
325 8 393 345
233 4 309 265
124 6 177 147
424 20 485 460
109 17 164 132
177 20 258 250
20 11 102 31
182 11 282 268
152 13 202 186
387 19 449 425
88 15 152 124
222 24 289 279
58 14 124 81
289 13 366 355
0 18 20 20
282 20 338 312
135 6 182 171
366 12 448 405
18 24 69 60
286 16 358 305
0 1 58 8
485 4 1000 538
469 13 512 502
309 20 387 368
448 7 498 480
393 24 469 431
69 7 135 102
358 6 424 421
0 1 44 34
102 11 158 152
164 20 233 193
476 10 512 491
405 1 476 464
19 14 88 76
158 5 222 215
338 21 405 366
44 19 109 83
