40 25 2
240 18 312 260
176 25 240 225
0 17 54 49
147 4 179 161
327 18 420 346
17 18 94 55
125 3 163 150
94 10 144 104
420 19 485 470
0 23 72 37
170 3 222 184
144 7 176 155
357 20 457 396
476 12 502 488
295 11 357 338
197 8 257 242
312 8 375 349
163 2 197 171
174 18 232 216
483 5 1000 581
222 12 275 254
83 21 141 112
375 14 476 470
72 10 135 118
434 7 497 462
135 3 170 144
257 17 327 310
252 20 316 291
141 16 174 168
316 22 400 370
457 2 502 466
54 11 125 87
40 11 104 57
275 4 335 315
400 23 483 427
0 14 83 49
232 5 295 281
335 25 434 378
104 6 147 116
179 10 252 198
